entity,author,added,deleted
src/components/Header/Header.scss,Jeff Tougas,48,22
src/components/Header/Header.scss,Muhamed Brifkani,51,16
src/components/Header/Header.test.js,Gary Paige,113,78
src/components/Header/Header.test.js,brennanbelew,13,1
src/components/Header/Header.test.js,Jeff Tougas,8,1
src/components/Header/Header.test.js,Muhamed Brifkani,47,38
src/components/Header/HeaderComponent.js,Muhamed Brifkani,29,29
src/components/Header/HeaderTasks.js,Gary Paige,124,23
src/components/Header/HeaderTasks.js,brennanbelew,13,10
src/components/Header/HeaderTasks.js,Ginu Philip Simon,26,15
src/components/Header/HeaderTasks.scss,Gary Paige,28,0
src/components/Header/HeaderTasks.test.js,Gary Paige,59,2
src/components/Header/HeaderTasks.test.js,brennanbelew,10,1
src/components/Header/HeaderTasks.test.js,Ginu Philip Simon,13,1
src/components/Header/Navbar.test.js,Muhamed Brifkani,30,30
src/components/Header/ResultsCounter.js,Gary Paige,140,83
src/components/Header/ResultsCounter.js,Muhamed Brifkani,1,1
src/components/Header/ResultsCounter.js,Jeff Tougas,11,6
src/components/Header/ResultsCounter.scss,Gary Paige,26,9
src/components/Header/ResultsCounter.scss,Alex Petty,0,4
src/components/Header/ResultsCounter.scss,Muhamed Brifkani,2,3
