entity,main-dev,added,total-added,ownership
src/middleware/initializationMiddleware.test.js,Gary Paige,35,35,1
src/middleware/mixpanelDispatcher.js,Gary Paige,44,53,0.83
src/middleware/mixpanelDispatcher.test.js,Gary Paige,31,42,0.74
src/middleware/mixpanelMiddleware.js,Gary Paige,98,135,0.73
src/middleware/mixpanelMiddleware.test.js,Gary Paige,136,255,0.53
src/middleware/searchMiddleware.js,Gary Paige,55,55,1
src/middleware/searchMiddleware.test.js,Gary Paige,65,65,1
src/middleware/sharedWorkerMiddleware.js,Daniel Nalbach,23,25,0.92
src/middleware/sharedWorkerMiddleware.test.js,Daniel Nalbach,55,55,1
src/middleware/supportSessionMiddleware.js,Jeff Tougas,24,31,0.77
src/middleware/supportSessionMiddleware.test.js,Jeff Tougas,55,56,0.98
src/middleware/swebInMiddleware.js,Jeff Tougas,27,37,0.73
src/middleware/swebInMiddleware.test.js,Gary Paige,23,23,1
src/middleware/swebOutMiddleware.js,Jeff Tougas,15,18,0.83
